spp;unknown;artif;opena;fores;waterbodies;
142;Chrysolampis mosquitus;1;1;1;0;0
143;Chrysomus ruficapillus;1;1;1;0;0
144;Ciccaba huhula;1;1;0;1;0
145;Ciccaba virgata;1;1;1;1;0
146;Cichlocolaptes leucophrus;1;0;0;1;0
147;Circus buffoni;1;1;1;0;0
148;Cistothorus platensis;1;1;1;0;0
149;Claravis pretiosa;1;1;1;1;0
150;Clibanornis rectirostris;1;0;0;1;0
151;Cnemotriccus fuscatus;1;1;1;1;0
152;Coccyzus americanus;1;1;1;1;0
153;Coccyzus euleri;1;1;1;1;0
154;Coccyzus melacoryphus;1;1;0;1;0
155;Cochlearius cochlearius;1;0;0;1;1
156;Coereba flaveola;1;1;1;1;0
157;Colaptes campestris;1;1;1;1;0
158;Colaptes melanochloros;1;0;1;1;0
159;Colibri delphinae;1;1;0;1;0
160;Colibri serrirostris;1;1;1;1;0
161;Colonia colonus;1;1;0;1;0
162;Columbina minuta;1;1;1;0;0
163;Columbina passerina;1;1;1;0;0
164;Columbina picui;1;1;1;0;0
165;Columbina squammata;1;1;1;0;0
166;Columbina talpacoti;1;1;1;0;0
167;Compsothraupis loricata;1;0;0;1;0
168;Conirostrum bicolor;1;0;1;1;0
169;Conirostrum speciosum;1;1;1;1;0
170;Conopias trivirgatus;1;0;0;1;0
171;Conopophaga cearae;1;0;1;1;0
172;Conopophaga lineata;1;0;1;1;0
173;Conopophaga melanops;1;1;0;1;0
174;Conopophaga roberti;1;0;0;1;0
175;Contopus cinereus;1;1;1;1;0
176;Coragyps atratus;1;1;1;1;0
177;Coryphaspiza melanotis;1;0;1;0;0
178;Coryphospingus pileatus;1;1;1;1;0
179;Corythopis delalandi;1;0;0;1;0
180;Cranioleuca pallida;1;0;0;1;0
181;Cranioleuca semicinerea;1;0;0;1;0
182;Cranioleuca vulpina;1;0;1;1;0
183;Crotophaga ani;1;1;1;1;0
184;Crotophaga major;1;0;0;1;0
185;Crypturellus noctivagus;1;0;1;1;0
186;Crypturellus parvirostris;1;1;1;1;0
187;Crypturellus soui;1;1;1;1;0
188;Crypturellus strigulosus;1;0;0;1;0
189;Crypturellus tataupa;1;0;0;1;0
190;Crypturellus undulatus;1;1;1;1;0
191;Cyanerpes cyaneus;1;1;1;1;0
192;Cyanocorax cristatellus;1;0;1;1;0
193;Cyanocorax cyanopogon;1;0;0;1;0
194;Cyanoloxia brissonii;1;1;1;0;0
195;Cyanopsitta spixii;1;0;1;1;0
196;Cyclarhis gujanensis;1;1;1;1;0
197;Cypseloides fumigatus;1;1;1;1;0
198;Cypseloides senex;1;1;0;1;0
199;Cypsnagra hirundinacea;1;0;1;0;0
200;Dacnis cayana;1;1;1;1;0
201;Dendrocincla fuliginosa;1;1;0;1;0
202;Dendrocincla turdina;1;1;0;1;0
203;Dendrocolaptes certhia;1;1;1;1;0
204;Dendrocolaptes platyrostris;1;1;0;1;0
205;Dendrocygna autumnalis;1;1;0;0;1
206;Dendrocygna bicolor;1;1;0;0;1
207;Dendrocygna viduata;1;1;0;0;1
208;Dendroplex picus;1;1;1;1;0
209;Diopsittaca cumanensis;1;0;1;1;0
210;Discosura longicaudus;1;1;1;1;0
211;Donacobius atricapilla;1;0;1;0;0
212;Dromococcyx phasianellus;1;0;0;1;0
213;Drymophila ochropyga;1;0;0;1;0
214;Drymophila squamata;1;1;1;1;0
215;Dysithamnus mentalis;1;0;1;1;0
216;Egretta caerulea;1;0;0;1;1
217;Egretta thula;1;1;1;1;1
218;Egretta tricolor;1;0;1;1;1
219;Elaenia albiceps;1;1;1;1;0
220;Elaenia chiriquensis;1;1;1;1;0
221;Elaenia cristata;1;0;1;0;0
222;Elaenia flavogaster;1;1;1;0;0
223;Elaenia mesoleuca;1;1;0;1;0
224;Elaenia sordida;1;1;1;1;0
225;Elaenia spectabilis;1;1;1;1;0
226;Elanoides forficatus;1;0;0;1;0
227;Elanus leucurus;1;1;1;0;0
228;Emberizoides herbicola;1;1;1;0;0
229;Embernagra longicauda;1;1;1;0;0
230;Empidonomus varius;1;1;1;1;0
231;Eudocimus ruber;1;0;0;1;1
232;Eupetomena macroura;1;1;1;1;0
233;Euphonia chlorotica;1;1;1;1;0
234;Euphonia cyanocephala;1;1;0;1;0
235;Euphonia violacea;1;1;1;1;0
236;Eupsittula aurea;1;1;1;1;0
237;Eupsittula cactorum;1;1;1;1;0
238;Eurypyga helias;1;0;0;1;1
239;Euscarthmus meloryphus;1;1;1;1;0
240;Euscarthmus rufomarginatus;1;0;1;0;0
241;Falco deiroleucus;1;0;1;1;0
242;Falco femoralis;1;1;1;0;0
243;Falco peregrinus;1;1;1;1;0
244;Falco rufigularis;1;1;1;1;0
245;Falco sparverius;1;1;1;1;0
246;Florisuga fusca;1;1;0;1;0
247;Fluvicola albiventer;1;0;1;0;0
248;Fluvicola nengeta;1;1;1;0;0
249;Formicarius colma;1;0;0;1;0
250;Formicivora grantsaui;1;0;1;0;0
251;Formicivora grisea;1;0;1;1;0
252;Formicivora iheringi;1;0;0;1;0
253;Formicivora melanogaster;1;0;1;1;0
254;Formicivora rufa;1;0;1;1;0
255;Forpus xanthopterygius;1;1;1;1;0
256;Fregata magnificens;1;0;0;1;1
257;Fregetta tropica;1;0;0;0;0
258;Furnarius figulus;1;1;1;1;0
259;Furnarius leucopus;1;1;1;1;0
260;Furnarius rufus;1;1;1;0;0
261;Galbula ruficauda;1;1;1;1;0
262;Gallinago paraguaiae;1;1;0;0;1
263;Gallinula galeata;1;1;1;1;1
264;Gallinula melanops;1;1;1;1;1
265;Gampsonyx swainsonii;1;1;1;1;0
266;Gelochelidon nilotica;1;0;1;0;1
267;Geositta poeciloptera;1;0;1;0;0
268;Geothlypis aequinoctialis;1;0;1;0;0
269;Geotrygon montana;1;1;0;1;0
270;Geotrygon violacea;1;1;0;1;0
271;Geranoaetus albicaudatus;1;1;1;0;0
272;Geranoaetus melanoleucus;1;0;1;0;0
273;Geranospiza caerulescens;1;1;1;1;0
274;Glaucidium brasilianum;1;1;1;1;0
275;Glaucidium minutissimum;1;0;0;1;0
276;Glaucis hirsutus;1;1;1;1;0
277;Glyphorynchus spirurus;1;1;1;1;0
278;Gnorimopsar chopi;1;1;1;1;0
279;Grallaria varia;1;0;0;1;0
280;Griseotyrannus aurantioatrocristatus;1;1;1;1;0
281;Guira guira;1;1;1;0;0
282;Habia rubica;1;0;0;1;0
283;Haematopus palliatus;1;0;1;0;1
284;Hapalocrex flaviventer;1;1;1;1;1
285;Harpagus bidentatus;1;0;1;1;0
286;Harpagus diodon;1;0;0;1;0
287;Harpia harpyja;1;0;0;1;0
288;Heliactin bilophus;1;1;1;1;0
289;Heliomaster squamosus;1;1;1;1;0
290;Heliothryx auritus;1;1;0;1;0
291;Hemithraupis flavicollis;1;1;0;1;0
292;Hemithraupis guira;1;1;1;1;0
293;Hemithraupis ruficapilla;1;1;0;1;0
294;Hemitriccus diops;1;0;0;1;0
295;Hemitriccus griseipectus;1;0;0;1;0
296;Hemitriccus margaritaceiventer;1;1;1;1;0
297;Hemitriccus mirandae;1;0;1;1;0
298;Hemitriccus nidipendulus;1;0;1;1;0
299;Hemitriccus striaticollis;1;0;1;1;0
300;Herpetotheres cachinnans;1;0;1;1;0
301;Herpsilochmus atricapillus;1;0;0;1;0
302;Herpsilochmus longirostris;1;0;0;1;0
303;Herpsilochmus pectoralis;1;0;1;1;0
304;Herpsilochmus scapularis;1;0;1;1;0
