spp;unknown;artif;opena;fores;waterbodies;
610;Synallaxis scutata;1;0;0;1;0
611;Synallaxis spixi;1;1;1;0;0
612;Syndactyla dimidiata;1;0;0;1;0
613;Systellura longirostris;1;1;1;0;0
614;Tachornis squamata;1;1;1;1;0
615;Tachybaptus dominicus;1;1;1;1;1
616;Tachycineta albiventer;1;1;1;1;0
617;Tachycineta leucorrhoa;1;1;1;1;0
618;Tachyphonus rufus;1;1;1;1;0
619;Tangara brasiliensis;1;1;0;1;0
620;Tangara cyanocephala;1;1;1;1;0
621;Tangara cyanomelas;1;1;0;1;0
622;Tangara cyanoptera;1;1;0;1;0
623;Tangara cyanoventris;1;1;0;1;0
624;Tangara episcopus;1;1;1;1;0
625;Tangara fastuosa;1;0;0;1;0
626;Tangara flava;1;1;1;1;0
627;Tangara palmarum;1;1;1;1;0
628;Tangara sayaca;1;1;1;1;0
629;Tangara seledon;1;1;0;1;0
630;Tapera naevia;1;1;1;0;0
631;Taraba major;1;1;1;1;0
632;Terenura sicki;1;0;0;1;0
633;Tersina viridis;1;1;0;1;0
634;Thalasseus maximus;1;0;1;0;1
635;Thalasseus sandvicensis;1;0;1;0;1
636;Thalurania furcata;1;1;0;1;0
637;Thalurania glaucopis;1;1;1;1;0
638;Thalurania watertonii;1;1;1;1;0
639;Thamnomanes caesius;1;0;0;1;0
640;Thamnophilus aethiops;1;0;0;1;0
641;Thamnophilus ambiguus;1;0;0;1;0
642;Thamnophilus caerulescens;1;0;1;1;0
643;Thamnophilus doliatus;1;1;1;1;0
644;Thamnophilus palliatus;1;1;0;1;0
645;Thamnophilus pelzelni;1;0;0;1;0
646;Thamnophilus torquatus;1;1;1;1;0
647;Theristicus caudatus;1;1;1;0;1
648;Thlypopsis sordida;1;0;1;1;0
649;Tigrisoma lineatum;1;0;0;1;1
650;Tinamus solitarius;1;0;0;1;0
651;Tityra braziliensis;1;1;0;1;0
652;Tityra inquisitor;1;1;0;1;0
653;Todirostrum cinereum;1;1;1;1;0
654;Tolmomyias flaviventris;1;1;1;1;0
655;Tolmomyias poliocephalus;1;1;1;1;0
656;Tolmomyias sulphurescens;1;1;1;1;0
657;Touit surdus;1;0;0;1;0
658;Trichothraupis melanops;1;0;0;1;0
659;Tringa flavipes;1;0;1;0;1
660;Tringa melanoleuca;1;0;1;1;1
661;Tringa semipalmata;1;0;1;0;1
662;Tringa solitaria;1;0;1;1;1
663;Troglodytes aedon;1;1;1;1;0
664;Trogon aurantius;1;0;0;1;0
665;Trogon curucui;1;1;1;1;0
666;Trogon rufus;1;1;0;1;0
667;Trogon viridis;1;1;1;1;0
668;Turdus albicollis;1;1;1;1;0
669;Turdus amaurochalinus;1;1;1;1;0
670;Turdus flavipes;1;1;0;1;0
671;Turdus fumigatus;1;1;1;1;0
672;Turdus leucomelas;1;1;1;1;0
673;Turdus nudigenis;1;1;0;1;0
674;Turdus rufiventris;1;1;1;1;0
675;Tyrannus albogularis;1;1;1;1;0
676;Tyrannus melancholicus;1;1;1;1;0
677;Tyrannus savana;1;1;1;1;0
678;Tyto alba;1;1;1;0;0
679;Uropelia campestris;1;1;1;0;0
680;Vanellus chilensis;1;1;1;0;1
681;Veniliornis affinis;1;1;1;1;0
682;Veniliornis maculifrons;1;1;0;1;0
683;Veniliornis mixtus;1;0;1;1;0
684;Veniliornis passerinus;1;1;1;1;0
685;Vireo olivaceus;1;1;0;1;0
686;Volatinia jacarina;1;1;1;0;0
687;Xema sabini;1;0;1;0;1
688;Xenops genibarbis;1;0;0;1;0
689;Xenops minutus;1;0;0;1;0
690;Xenops rutilus;1;0;0;1;0
691;Xenopsaris albinucha;1;1;1;1;0
692;Xiphocolaptes albicollis;1;1;0;1;0
693;Xiphocolaptes falcirostris;1;0;1;1;0
694;Xipholena atropurpurea;1;0;0;1;0
695;Xipholena lamellipennis;1;0;0;1;0
696;Xiphorhynchus atlanticus;1;1;0;1;0
697;Xiphorhynchus fuscus;1;1;0;1;0
698;Xiphorhynchus guttatoides;1;1;1;1;0
699;Xiphorhynchus guttatus;1;1;1;1;0
700;Xolmis cinereus;1;1;1;0;0
701;Xolmis irupero;1;1;1;0;0
702;Xolmis velatus;1;1;1;0;0
703;Zenaida auriculata;1;1;1;1;0
704;Zimmerius acer;1;1;0;1;0
705;Zimmerius gracilipes;1;1;0;1;0
706;Zonotrichia capensis;1;1;1;0;0
